factor,level,arch,metric,mean,std,n_seeds
race_group,White,concat,ece,0.03493903312810075,0.013495242784686508,5
race_group,White,image,ece,0.04887623587656303,0.010739319201686014,5
sex,Female,concat,auprc,0.6703651816212421,0.0052456746444658866,5
sex,Female,image,auprc,0.6736487972554065,0.009279001615417936,5
sex,Female,concat,auroc,0.7146619679124548,0.0057920821689236845,5
sex,Female,image,auroc,0.713148010757674,0.002688856342760978,5
sex,Female,concat,brier,0.21436125267444955,0.0020872812877331818,5
sex,Female,image,brier,0.21563571471923307,0.000887051760838566,5
sex,Female,concat,ece,0.04447742067466533,0.008502780716629483,5
sex,Female,image,ece,0.06054685488343239,0.011293335280516889,5
sex,Male,concat,auprc,0.7668317919038493,0.00609246244130444,5
sex,Male,image,auprc,0.768727979470982,0.007120126053824363,5
sex,Male,concat,auroc,0.7760508241758242,0.0070900717763731184,5
sex,Male,image,auroc,0.7699278846153846,0.006102314390343518,5
sex,Male,concat,brier,0.19353647694195977,0.003511746941204611,5
sex,Male,image,brier,0.19577844127855143,0.002665428134121728,5
sex,Male,concat,ece,0.059420443233872244,0.012376672025594235,5
sex,Male,image,ece,0.0676303768345763,0.01870635892370174,5
view,AP,concat,auprc,0.6948180444424674,0.011405271385945182,5
view,AP,image,auprc,0.7129173903965066,0.008652131127359727,5
view,AP,concat,auroc,0.7147911747343566,0.014236675977903429,5
view,AP,image,auroc,0.720694362455726,0.006035670029325666,5
view,AP,concat,brier,0.21915198243340095,0.0054331889008107466,5
view,AP,image,brier,0.21809322660358324,0.0027532297845935124,5
view,AP,concat,ece,0.06743282566062883,0.023755509163302192,5
view,AP,image,ece,0.07730340749792786,0.011785996956486978,5
view,PA,concat,auprc,0.7329144749631054,0.008321242437937856,5
view,PA,image,auprc,0.7250657208641551,0.004254240415298723,5
view,PA,concat,auroc,0.7584254599002176,0.006738636163030131,5
view,PA,image,auroc,0.7480713861843118,0.003835319973316538,5
view,PA,concat,brier,0.1941450432783964,0.00264030441799329,5
view,PA,image,brier,0.19797377566603586,0.0007580060158360622,5
view,PA,concat,ece,0.03797699417582482,0.009824891716442576,5
view,PA,image,ece,0.04495289684173901,0.006445393051104597,5
